City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
268,serafimovich,100,RU,1610145125,95,49.5786,42.736,34.38,7.94
269,kozan,0,TR,1610145128,66,37.4552,35.8157,55.0,10.36
270,zonguldak,98,TR,1610144974,72,41.25,31.8333,48.2,6.08
271,curuguaty,82,PY,1610145135,93,-24.4694,-55.6945,73.78,1.48
272,kavaratti,13,IN,1610145138,74,10.5669,72.642,81.61,5.39
273,umm lajj,0,SA,1610145141,53,25.0213,37.2685,74.71,6.15
274,birjand,0,IR,1610145143,27,32.8663,59.2211,17.6,6.91
275,sault sainte marie,1,CA,1610145146,59,46.5168,-84.3333,26.6,6.91
276,saint anthony,90,US,1610144971,86,45.0205,-93.218,24.01,2.86
277,onega,46,RU,1610145151,90,63.9061,38.1404,-9.6,3.15
278,ostrovnoy,100,RU,1610145154,93,68.0531,39.5131,9.5,4.14
279,cap-aux-meules,100,CA,1610145156,100,47.3821,-61.8597,32.0,14.97
280,ati,98,TD,1610145159,18,13.2154,18.3353,76.48,12.93
281,grand gaube,25,MU,1610145161,88,-20.0064,57.6608,75.0,3.0
282,barda,91,AZ,1610145166,72,40.3744,47.1267,38.16,1.72
283,korla,94,CN,1610145169,89,41.7597,86.1469,15.3,0.67
284,stranda,1,NO,1610145171,84,62.3096,6.9358,30.0,9.24
285,road town,20,VG,1610145174,65,18.4167,-64.6167,78.8,8.05
286,ferrol,75,ES,1610145177,93,43.4832,-8.2369,39.2,5.75
287,timbo,55,BR,1610144890,93,-26.8233,-49.2717,73.99,1.99
288,bandiagara,0,ML,1610145182,44,14.3501,-3.6104,80.6,4.61
289,tapejara,0,BR,1610145184,47,-28.0681,-52.0139,80.6,9.22
290,abomsa,5,ET,1610144972,49,9.9833,39.9833,61.74,2.17
291,sambalpur,2,IN,1610145189,57,21.45,83.9667,66.79,4.88
292,donskoye,0,RU,1610145192,46,45.4552,41.9741,46.4,6.71
293,monte alegre,81,BR,1610145195,83,-2.0078,-54.0692,78.19,2.48
294,valparaiso,20,CL,1610145152,77,-33.0393,-71.6273,63.0,6.91
295,eucaliptus,75,BO,1610145200,100,-17.5833,-67.5167,32.0,11.5
296,cruz,86,BR,1610145202,79,-2.9178,-40.1717,79.99,17.72
297,nanortalik,100,GL,1610145205,88,60.1432,-45.2371,35.69,9.1
298,loncoche,0,CL,1610145207,49,-39.3667,-72.6333,68.0,10.36
299,sumbe,100,AO,1610145210,80,-11.2061,13.8437,75.36,5.39
300,berlevag,20,NO,1610145212,68,70.8578,29.0864,19.4,27.63
301,sinnamary,71,GF,1610145218,89,5.3833,-52.95,76.91,13.53
302,santa isabel do rio negro,100,BR,1610145220,98,-0.4139,-65.0192,72.73,2.48
303,kautokeino,46,NO,1610145223,91,69.0125,23.0412,-3.37,7.83
304,lodja,100,CD,1610145225,98,-3.4833,23.4333,65.75,0.27
305,santo tomas,75,PH,1610145230,69,14.1079,121.1414,78.8,4.61
306,aswan,2,EG,1610145233,44,24.0934,32.907,61.36,4.76
307,komatipoort,93,ZA,1610145235,82,-25.4332,31.9548,73.99,3.87
308,thompson,20,CA,1610145238,92,55.7435,-97.8558,15.8,4.61
309,fort walton beach,90,US,1610145125,71,30.4058,-86.6188,46.4,8.05
310,bam,0,IR,1610145093,47,29.106,58.357,39.49,8.12
311,patacamaya,85,BO,1610145245,71,-17.2333,-67.9167,49.35,5.64
312,capim grosso,51,BR,1610144950,41,-11.3811,-40.0128,82.0,6.13
313,high rock,75,BS,1610145250,68,26.6208,-78.2833,71.6,8.05
314,pangnirtung,90,CA,1610145253,65,66.1451,-65.7125,-4.0,3.44
315,dunkwa,81,GH,1610145256,90,5.9656,-1.78,75.33,3.13
316,rio grande,0,BR,1610145258,66,-32.035,-52.0986,75.65,10.98
317,sibi,0,PK,1610145261,38,29.5448,67.8764,52.75,4.76
318,jalingo,17,NG,1610145263,18,8.8833,11.3667,77.61,2.44
319,tsiroanomandidy,100,MG,1610145268,94,-18.7667,46.0333,70.3,3.8
320,fostoria,99,US,1610145233,83,41.157,-83.4169,30.99,14.0
321,mayumba,27,GA,1610145273,87,-3.432,10.6554,77.31,2.62
322,lalsot,65,IN,1610145276,74,26.5667,76.3333,59.45,7.83
323,camacha,40,PT,1610145278,71,33.0833,-16.3333,53.6,18.41
324,thurles,0,IE,1610145281,90,52.6819,-7.8022,24.01,3.85
325,la palma,1,US,1610145078,42,33.8464,-118.0467,69.01,4.61
326,visby,75,SE,1610145286,100,57.6409,18.296,33.01,5.75
327,totma,98,RU,1610145289,93,59.9747,42.7642,0.95,4.94
328,yarensk,94,RU,1610145291,94,62.1675,49.0916,4.55,5.55
329,koulikoro,0,ML,1610145294,19,14.0,-7.75,73.74,5.1
330,norden,96,DE,1610145296,81,53.6,7.2,33.01,1.01
331,kozhva,23,RU,1610145299,90,65.1073,57.0459,-12.53,1.48
332,ormara,0,PK,1610145301,35,25.2088,64.6357,59.16,15.39
333,quepos,40,CR,1610145304,60,9.4236,-84.1652,75.2,13.8
334,trelew,9,AR,1610145306,18,-43.249,-65.3051,77.63,14.27
335,moose factory,90,CA,1610145309,93,51.2585,-80.6094,19.4,9.22
336,gobabis,62,NA,1610145312,66,-22.45,18.9667,73.69,9.57
337,carutapera,99,BR,1610145314,79,-1.195,-46.02,79.57,7.47
338,karpathos,42,GR,1610145317,82,35.507,27.2132,62.6,10.36
339,vestmannaeyjar,100,IS,1610145319,88,63.4427,-20.2734,32.76,34.0
340,juruti,98,BR,1610145322,81,-2.1522,-56.0922,78.78,0.76
341,benguela,88,AO,1610145324,71,-12.5763,13.4055,75.9,6.11
342,kamyzyak,40,RU,1610145327,93,46.11,48.0736,32.0,6.71
343,urla,75,TR,1610145329,94,38.3229,26.764,55.4,10.36
344,manga,5,BF,1610145332,18,11.6636,-1.0731,75.54,4.21
345,nioro,0,GM,1610145334,41,13.35,-15.75,76.62,11.45
346,yashkino,75,RU,1610145337,77,55.8736,85.4265,-11.2,13.42
347,dmitriyevka,90,RU,1610145339,67,54.75,55.3333,17.6,13.42
348,yerkoy,14,TR,1610145342,64,39.6381,34.4672,45.32,5.48
349,misratah,0,LY,1610145347,45,32.3754,15.0925,71.1,12.75
350,harwich,42,GB,1610145109,91,51.9419,1.2844,35.01,5.01
351,hashtrud,19,IR,1610145321,75,37.4779,47.0508,14.09,1.12
352,serro,76,BR,1610145355,88,-18.6047,-43.3794,69.96,1.5
353,bathsheba,20,BB,1610145357,78,13.2167,-59.5167,78.8,14.97
354,san andres,40,CO,1610145360,74,12.5847,-81.7006,82.4,9.22
355,mandal,46,IN,1610145362,78,25.45,74.5667,60.44,7.49
356,ciudad bolivar,66,VE,1610145368,75,8.1222,-63.5497,78.98,9.82
357,brae,75,GB,1610145370,65,60.3964,-1.353,39.2,19.57
358,kasese,80,UG,1610145373,62,0.1833,30.0833,69.91,3.38
359,havelock,90,US,1610145375,87,34.8791,-76.9013,45.0,18.41
360,bani walid,0,LY,1610145383,36,31.7566,13.9942,68.56,12.08
361,kvam,16,NO,1610145385,81,61.6656,9.6898,11.88,2.21
362,cap malheureux,22,MU,1610145388,89,-19.9842,57.6142,75.0,4.0
363,jumla,7,NP,1610145391,47,29.2747,82.1838,38.98,4.05
364,tornio,97,FI,1610145393,92,65.8481,24.1466,15.8,8.05
365,porto walter,11,BR,1610145396,94,-8.2686,-72.7439,76.05,2.53
366,progreso,75,MX,1610145398,53,21.2833,-89.6667,75.2,11.5
367,eyl,0,SO,1610145401,69,7.9803,49.8164,71.56,16.04
368,amapa,90,BR,1610145403,96,1.0,-52.0,73.51,3.47
369,carballo,75,ES,1610145406,93,43.213,-8.691,39.2,5.75
370,meulaboh,100,ID,1610145408,93,4.1363,96.1285,74.55,6.17
371,praia,40,CV,1610145411,73,14.9215,-23.5087,73.4,19.57
372,sao joao da barra,75,BR,1610145413,74,-21.6403,-41.0511,80.6,4.61
373,betare oya,100,CM,1610145416,25,5.6,14.0833,68.14,2.75
374,manacor,75,ES,1610145419,87,39.5696,3.2096,48.2,20.71
375,druzhba,93,UA,1610145421,97,52.0428,33.9453,29.41,9.75
376,marawi,90,PH,1610145424,93,7.9986,124.2928,73.99,1.99
377,tskaltubo,0,GE,1610145426,42,42.3254,42.5979,44.6,6.91
378,tshikapa,94,CD,1610145429,94,-6.4167,20.8,66.34,2.39
379,mahanje,100,TZ,1610145431,95,-9.9333,35.3333,65.95,1.61
380,slonim,95,BY,1610145434,98,53.0867,25.3219,27.07,5.88
381,ovalle,0,CL,1610145306,37,-30.5983,-71.2003,75.07,5.68
382,tyulgan,100,RU,1610145439,97,52.3405,56.166,18.3,12.97
383,pangody,80,RU,1610145442,89,65.85,74.4859,-16.42,4.99
